,pid,bonus
275,66daffd737bc4e5de33e70be,0.7
276,5f4d07b4fae27694de8f5af1,0.7
277,63d40219337fe37c8de6582f,1.0
278,663d9f77c4622bd0ac33b269,0.4
279,676d804dc7f673821315d451,0.6
280,5d227f901e99f80018c60e1f,0.6
281,671aa0b37e9aff0fef12cc35,0.6
282,677058bb73f6dd06e978ac12,0.1
283,667c86d3b9ca760b999914f3,1.0
284,66b80fff88d438c8dab5552f,0.5
285,5d84d74aba692b001d6708b3,0.7
286,63e16af2b97728a7e7b17b7a,0.5
287,65c1512b51dc8b722a7fe306,0.8
288,63d404f4eaf69448ef9e09e6,0.8
289,65ecc3670bbda5b4fb282ce1,0.4
290,66d0de0d9d748dbc8edf8d75,0.8
291,675ac6491d5a8659b07fcf54,0.7
292,5d33ffd948bf98001a46b26c,0.7
293,67804682f70a2de5932ee81b,1.0
294,6744726c936e2c80844d8fc6,0.4
295,6604bbab4fafac718a119568,0.1
296,604397dd75ab0c367e5f2604,0.8
297,593d60d9d3501e0001bc16e4,0.9
298,55ed87f0748092000baa9a0b,0.6
299,677505a6943a69f6883693e1,0.5
300,5b53e95f4bbe600001465c18,0.6
301,674adf9066029deae4decd66,0.6
302,6471243669fd3f43501ed674,0.7
303,660ea3da676d777f83383aab,0.7
304,610c746ae69325e2403423fb,0.4
305,5ceef0e84f74e10001809db1,0.8
306,66d76fac526f79e1ba2986cc,0.2
307,663bf0e70019e5f00dfb6e32,0.5
308,675b8b09b399ed2fe8481f50,0.4
309,6750d3484a42c2a4f44e09ce,0.5
310,677ec0dbbf9e4c07a79783f9,0.6
311,67212487ab628114f4e828ba,1.0
312,673f7195ef2ba2aaa2c9f688,1.0
313,6637a0af708028e9a78a0331,0.3
314,66a819b2c3eb66cffc47e808,0.5
315,6782fb88cf758d7aa077f2cf,0.8
316,6568b70075a2e3f099a181f2,0.6
317,668c3e15efdac044dbce8b73,0.5
318,676669b707b1484c46e779fb,0.4
319,66ecc419237d4dc3e627477c,0.4
320,6759f12b3dfcce5b74b86bb5,0.4
321,6522ef53fd1e3e7d13548a38,0.8
322,63d41c2627381fc53af61e58,0.3
323,6643f7f17540ee80f2d5cf24,0.3
324,629513753a4424c933282660,0.8
325,6747c6090f5f25c6041b592e,0.0
326,6663055718102f45b5558e0f,0.5
327,676b0c3cd31dec2bb61c3688,1.0
328,616567af93f2b71b50c3ff85,0.5
329,677edfd57674cbecfe1640f3,0.5
330,6769d0dc4eaaf626662bb707,1.0
331,663a8c84b8e7c046d854c8dd,0.4
332,6004d426710b3c300a1259ee,0.6
333,664b5605d6d347ef382c655c,1.0
334,66325a097b34af78bbc59edd,0.7
335,65f864b80011f5fbaf381dfa,0.6
336,667e430fb57a5f04492676c6,0.5
337,674736d69362c84abb061144,0.3
338,63d13dbf2d8a41f897c4d8fd,0.2
339,66aa83dd5d34973838c99ad3,0.6
340,6737a08a9f1322d144ef479f,0.6
341,6754d3a7f3d14c0c963af230,0.6
342,66a0546b92a6ce30ea377c9b,0.2
343,651b43625c3bc6e2217a7e24,0.5
344,662b83fb6fc3783eadc030e4,0.3
345,6643894e1f7aa75c4410d42b,0.6
346,674f4e39f9a0f9a1942c7546,0.2
347,6757a464eb626ac5da192ddf,0.4
348,6102b3361f1a020511b80f5d,0.9
349,672d6a5685c811579961c37b,1.0
350,603eea9867d4bc076813d71e,0.7
351,676f23835e99de65b9e0b3b2,0.9
352,6717ca3a61e52dc226157162,0.1
353,620bde4fa922fc3f247f6e43,0.4
354,6120d602c1976a4114dcb110,0.2
355,677d6ec606698d969ff1e52e,0.7
356,60008e2ee4d8c913c602e0cd,0.8
357,65a54cf6f170aa984b7014fe,0.6
358,67097f0092142ae824cb6afa,0.3
359,604cdf7dee91436fdd3889f9,1.0
360,673f3b8abf4fffe448f85be3,0.5
361,667134987398403120cb2cfa,0.5
362,610838e9e68b5ba7d2717e63,0.4
363,6743ad4dc1bf31373949d647,1.0
364,674365379649c44a0e379778,0.7
365,676bddf6313b5dab83b02489,0.5
366,6100da65dc8b1fc2f236424e,0.6
367,67812cd5c9a26584d6ca768e,0.4
368,6776ea056b2bdf23de79aac7,0.6
369,5fc6e3a0040c3f0e7cb45c8a,0.1
370,6330f30b973410dadd20eb64,0.6
371,678340c9ba7d324b063cec2f,0.7
